ron,Feature,Task,Hour,Description,Comment,Note,Discussion,Updated,,,,,
,,Applies to Rental Type,4,"- Specify applicable vehicle types (e.g., campervan, converted van)",Checked,,,8/25/2025,,,,,
,,,,,,,,,,,,,
,Other Fees Management,,,,,,,,,,,,
,,Other Fees,8,"Handle Items like
- cleaning fee (prep fee, by camper), assume it's configurable by each fleet admin, fleet admin setting
- feet admin service fee (by commission), assume it's configurable in the system variable
- customer service fee (by a set amount),assume it's configurable in the system variable
- delivery fee (not needed)",,,DIscussion. Do we need any of this? Maybe prep fee.,,,,,,
,,State Fee,0,- Deferred to a future phase,Checked,,,8/25/2025,,,,,
,,Notes to guests,0,- Deferred to a future phase,Checked,,,8/25/2025,,,,,
,,Delivery,0,- Deferred to a future phase,Checked,,,8/25/2025,,,,,
,,MIleage,20,"- Type of fee
- Unit: Mile or km
- Name of the fee
- Unlimited or charge
- Tax rate
- Tier pricing / Matching Tier
- based free mile per day / reservation
- Pricing levels list, add, delete
- Input for miles based on the reservation, auto calculate the additional fees",Checked,,,8/28/2025,,,,,
,,Generator,4,"Similar to Mileage, but without the unit of mile / km",Checked,,,8/28/2025,,,,,
,,UI Language,2,"- Enable language switching in this section of the admin UI
- More content, take longer time
- Assumes support for two languages
- Does not include translation of content",Checked,,,8/25/2025,,,,,
,,,,,,,,,,,,,
,,Pick up and return time dynamic pricing,24,"- 30 mins interval
- assuming this is bounded by the pick up and drop off hours, the option is not available if it's before and after the pickup/drop off hours
- dynamic pricing for pick up and return time
- set the price and the time range
- the same price for each day, so no dynamic pricing for day and time
- displays a list of dynamic pricing
- create a dynamic pricing range (from and to hh:mm), validates duplication and overlapping
- update and delete a dynamic price range
- displays the dynamic pricing on pick up and drop off time
- update the time on price breakdown
- each location has its own dynamic pricing configuration
- see page in https://docs.google.com/spreadsheets/d/10HOSktB_oV2LQjyiqzqTLli4x8lAG5G_21BMO6uqzY0/edit?gid=1954310294#gid=1954310294
",Checked,,only within business hour?,8/28/2025,,,,0.05,0.05
,,Handoff Limit,0,"- the number of handoffs per person per day
- assume we do this in future month, this will require staff scehdule management to understand the schedule for each staff and location, calculate the bandwidth etc",Checked,,Future phase,8/28/2025,,,,,
,,,,,,,,,,,,,
,Customer Management,,,,,,,,,,,,
,,List,8,"- Display a paginated list of customers with name, email, and phone
- Only shows customers belonging to the current fleet admin",checked,,,,,,,,
,,Search,6,"- Search customers by name
- Simple database query (no advanced filtering or fuzzy search)",checked,,,,,,,,
,,Create,6,"- Add a new customer
- Fields: first name, last name, email (used as primary key), phone, birthdate, locale/language, and address",checked,,,,,,,,
,,Update,4,- Update customer profile information,checked,,,,,,,,
,,User & Fleet Customer Association,6,"- Each fleet manages its own customer list
- A fleet customer can be linked to a user account
- A single user may be associated with multiple fleet customers
- Need to have a user table and a fleet user table
- Use email as a unique ID",checked,,,,,,,,
,,UI Language,2,"- Enable language switching in this section of the admin UI
- Assumes support for two languages
- Does not include translation of content",,,,,,,,,
,,,,,,,,,,,,,
,Booking management,,,,,,,,,,,,
,,List,8,"- List existing rentals and the abandon reservations from customers
- Pagination
- without search",Checked,,,8/25/2025,,,,,
,,Filter,8,"- Created between
- Departed between
- Status: cancelled, current
- Assuming there is no following filters: change requested, handed off, starts soon, approved, renter cancelled, expired, renter withdrew, declined",Checked,,"Status:
approved - needed
handed off -nice to have
- cancelled status is enough, don't need renter cancelled",8/25/2025,,,,,
,,Predefined List - Quote List,4,"- Waiting on renter - defined by user, triggers abandoned email notification
- To simplify, draft / quote are the same, just one status, does not send email to user and it does not triggered abandoned email notification
- Assuming no concept of expired or rejected
- Assuming no InstaMatch concept",Checked,,,8/25/2025,,,,,
,,Predefined List - Current & Upcoming List,4,- Current and Upcoming,Checked,,,8/25/2025,,,,,
,,Search,0,Assuming search is not incluced in this scope,Checked,,,8/25/2025,,,,,
,,Create,12,"- Admin to create rental on behalf of the customer. 
- Select a date range, vehicle, and addons, etc.
- Accept descount code
- Not possible with iDEAL payment here, so an alternative payment must be provided.
- Associate to a customer, customer does not necessary have to verify email. Create a new customer inline if the customer does not exist.
- Will try to reuse the existing UI component",Checked,,iDEAL payment not possible,8/25/2025,,,,,
,,Detailed view,10,"- View the details, campervan, addons
- without activities, drivers, calendar, note, documents and files, emails, reviews, and inspection photos
- show information that users view",Checked,,,8/25/2025,,,,,
,,Detailed view - transaction list,4,The transaction history of the booking,Checked,,,8/25/2025,,,,,
,,Update booking,8,"Date range, addons, etc",Checked,,,8/25/2025,,,,,
,,Update booking - update charge,8,"Calculate the difference, make the necessary charge or refund",Checked,,,8/25/2025,,,,,
,,Offline Payment,0,"Support offline payment like Cash, check, others, 
- how will they pay the commission? may have to disable the feature.
- Assuming this will be done in future phase",Checked,,To discuss,8/25/2025,,,,,
,,Credit card payment,8,Support credit payment. Admin uses the customer's credit card to pay the campervan,Checked,,,8/25/2025,,,,,
,,iDEAL payment,0,Not possible from fleet admin side,Checked,,,8/25/2025,,,,,
,,Reservation Note,4,"One text field, does not track history",Checked,,,8/25/2025,,,,,
,,UI Language,2,"- Enable language switching in this section of the admin UI
- Assumes support for two languages
- Does not include translation of content",Checked,,,9/5/2025,,,,,
,,,,,,,,,,,,,
,Insurance Management,,,,,,,,,,,,
,,List,8,"- Display all insurance plans
- No pagination, filter, or search in this phase",Checked,,"Need to discuss more, if they don't have their own insurance. JollyCampers to provide some basic insurance plans. For limited countries only.",,,,,,
,,Create,8,"- Add new insurance plan
- Name and per-day pricing only",Checked,,,,,,,,
,,Update,4,- Edit insurance plan details,Checked,,,,,,,,
,,Delete,2,"- Soft delete
- Does not affect existing bookings that already applied the plan",Checked,,,,,,,,
,,Tax,2,- Associate tax rate to the insurance plan,Checked,,,,,,,,
,,Content Language,4,- Multilingual support for name and details content. Does not include admin UI language.,Checked,,,,,,,,
,,UI Language,2,"- Enable language switching in this section of the admin UI
- Assumes support for two languages (add 1h per additional language)
- Does not include translation of content",Checked,,,9/5/2025,,,,,
,,,,,,,,,,,,,
,Fleet to Customer Review,,,,,,,,,,,,
,,Customer Reviews ,12,"- Assumsing this is associated to a booking
- user -> booking -> review
- each user / fleet user can have multiple review
- each review has 5 points system, datetime, and a comment.
- When we select a user, we can view the reviews for the user
- Read only
- without sub category",Checked,,"- Should this be associated to a booking?
- Should this be shared among all the fleets?",8/28/2025,,,,,
,,Review a customer,6,"- Give reivew based on a reservation
- 5 points system and a text note.",Checked,,,8/28/2025,,,,,
,,UI Language,1,"- Enable language switching in this section of the admin UI
- Assumes support for two languages
- Does not include translation of content",Checked,,,9/5/2025,,,,,
,,,,,,,,,,,,,
,Calendar View,,,,,,,,,,,,
,,Calendar / Vehicle list,28,"- Use a third party library that support calendar timeline view, such as full calendar (https://fullcalendar.io/docs/timeline-standard-view-demo) or syncfusion
- Render a list of campervans, assuming the library handles large list of campervans
- Note that there is an additional license charge for the library
- Show approved status bookings only
- Show blocked dates
- controls, next week, previous week, monthly view, weekly view, assuming it's supprted by the calendar library.",Checked,,,8/25/2025,,,,,
,,Reservation Overview Modal,8,"- Displays reservation overview, quote, without note
- button to reservation details ",Checked,,,8/25/2025,,,,,
,,Choose date,4,Choose date and jumps to the selected date,Checked,,,8/25/2025,,,,,
,,Resource date range select,6,"- Select a date range on a resource with mouse
- displays a modal with option to make the car unavailable
- does not have start quote button",Checked,,,8/25/2025,,,,,
,,Calendar view to support pickup and drop off time,0,"- Pick up and drop off time of the day for each vehicle
- Assuming this is a feature from the library",Checked,,,8/28/2025,,,,,
,,UI Language,0,"- Enable language switching in this section of the admin UI
- Assumes support for two languages
- Does not include translation of content
- Assuming the library supports UI translation , ie https://fullcalendar.io/docs/locale-demo",Checked,,,9/5/2025,,,,0.05,0.043
,,,,,,,,,,,,,
,Discount Codes Management,,,,,,,,,,,0.0466,
,,List,8,"List all discount codes for the fleet admin
- No pagination, search, or filtering in this phase",Checked,,,,,,,0.0966,0.043
,,Create,12,"- Define code (English alphabet only, no special characters or spaces)
- Associate discount code with one or more locations
- Select discount type: flat amount or percentage
- Apply to either daily rate or total price
- Define start date and end date
- Option to apply based on shopping dates or travel dates
- Assumptions:
  • No restriction by length of stay
  • No filtering by vehicle country, RV type, or first-time renters
  • No cap on redemptions per user or in total- One discount per booking maximum
",Checked,,,,,,,,
,,Update,4,"- Update discount code details
- Changes do not affect quotes or bookings that already used the discount",Checked,,,,,,,,
,,Delete,3,"- Deactivate (soft delete) the discount
- Discount remains valid for existing bookings that already applied it
",Checked,,,,,,,,
,,Apply Discount,6,"- Apply a discount to a quote
- Discount amount is fixed at the time of quote creation
- Changing the code later does not retroactively modify existing quotes
",Checked,,,,,,,,
,,UI Language,2,"- Enable language switching in this section of the admin UI
- Assumes support for two languages (add 1h per additional language)
- Does not include translation of content",Checked,,,,,,,,
,,,,,,,,,,,,,
,Settings,,,,,,,,,,,,
,,Min nights,0,"- Min night for each reservation
- Already incluced in Minimum Booking Nights Rule",Checked,,,,8/21/2025,,,,
,,Charge by day or night,0,Asssuming it's charge by day. Move charge by night option to future phase.,Checked,,"- Charged by night is required, simlar to hotel, pick up at 5pm, return at 10am.
- charge by day, 10am pickup, 10am drop off,",,8/21/2025,,,,
,,Turnaround time,2,"-  Adds a fleet admin–configured buffer (in full days) between bookings
-  Ensures sufficient time for cleaning and preparation after a return
-  Booking system automatically blocks availability based on the specified turnaround duration
-  Applies at the fleet level (not configurable per vehicle)
- Add a numeric input in the fleet admin settings panel
- Store and retrieve the turnaround value per fleet- Default to 0 if unset
- Does not include the logic of vehicle availability",Checked,,,,8/21/2025,,,,
,,Default currency,2,"- Set default currency from an available list
- Assuming currency setting is tied to a fleet profile, not a location",Checked,,,,8/25/2025,,,,
,,UI Language,3,"- Enable language switching in this section of the admin UI
- Assumes support for two languages (add 1h per additional language)
- Does not include translation of content
- https://fullcalendar.io/docs/locale-demo",Checked,,,,9/5/2025,,,,
,Rules Management,,,,,,,,,,,,
,,List,8,"- Display all rules in a simple list view
- No search, filter, or pagination functionality in this pha
",Checked,,,,,,,,
,,Base Rule Logic,20,"- Shared rule setup components
- Name the rule
- Repeat annually option
- Enable/disable toggle (not conditional by search dates)
- Calendar-based date range selection
- Apply rules to specific days of the week
- Uses Wheelbase Pro (WBP) rule behavior as reference",Checked,,,,,,,,
,,Date & Range Price Adjustments,8,"-  In the date range, set price to, increase / decrease percentage, increase / decrease amount 
- Apply to vehicles, without vehicle type filter
- Name the rule
- Repeat annually option
- Enable/disable, without only for certain search dates
- Apply to date range, and day(s) of the week
- Use WBP as reference",Checked,,,,,,,,
,,Minimum Booking Nights,8,"- Min booking nights field
- Apply to vehicles, without vehicle type filter
- Name the rule
- Repeat annually option
- Enable/disable, without only for certain search dates
- Apply to date range, and day(s) of the week
- Use WBP as reference",Checked,,,,,,,,
,,Advanced Pricing (Length-Based),8,"- Price adjustment based on length of booking, at least N days, then increase/decrease price by X percentage/amount. Support multiple adjustments.
- Apply to vehicles, without vehicle type filter
- Name the rule
- Repeat annually option
- Enable/disable, without only for certain search dates
- Apply to date range, and day(s) of the week
- Use WBP as reference",Checked,,,,,,,,
,,Utilization & Optimization,0,"- Reserved for future phase
- Advanced logic based on fleet occupancy or availability windows",Checked,,,,,,,,
,,UI Language,2,"- Enable language switching in this section of the admin UI
- Assumes support for two languages (add 1h per additional language)
- Does not include translation of content",Checked,,,,,,,,
,,,,,,,,,,,,,
,Reports,,,,,,,,,,,,
,,Monthly Rental Report,16,"- Display the report online
- Monthly summary of rentals, showing a breakdown per booking: base price, add-ons, service fees, platform fees, etc.
- Includes month selector for viewing reports from different periods",Checked,,,9/16/2025,,,,,
,,Download PDF Report,8,Generate pdf file based on monthly rental report,Checked,,,9/16/2025,,,,,
,,,,,,,,,,,,,
,Tax Management,CRUD,16,"List, Create, Update, Soft delete (Soft delete prevents future association)",Checked,,,8/28/2025,,,,,
,,Default,2,"Default tax rate, on creating a fleet admin, a default tax rate is created for the fleet admin. In Setting section.",Checked,,,8/28/2025,,,,,
,,UI Language,1,"- Enable language switching in this section of the admin UI
- Assumes support for two languages (add 1h per additional language)
- Does not include translation of content",Checked,,,9/5/2025,,,,,
,Payout Management,,,,,,,,,,,,
,,Create,12,"Assuming there is only one payout method for each fleet maangement
- find out what payout methods to support",,,,,,,,,
,,Update,8,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Others,,,,,,,,,,,,
,,Stripe Connect,,"1.        Your backend creates a Stripe Connect account (via API) with type express
2.        You generate a Stripe onboarding link using account_links.create
3.        Fleet admin clicks the link and is taken to the Stripe-hosted onboarding UI
4.        After completion, Stripe redirects them back to your platform
5.        You store their Stripe account ID for future payouts
6.        Optionally, you query their account status (e.g., charges_enabled, payouts_enabled) to display onboarding progress",,,,,,,,,
,,Payout,4,"charge the customer, and Stripe automatically routes the correct share to the fleet admin’s account via a method called “destination charges” or “transfer to connected account.”
",,,,,,,,,
,,,,,,,,,,,,,
,,Reservation preference,0,Future phase,,,,,,,,,
,,Policies and documents,0,"Contract for booking, insurance policy.
need to think about how they would receive the pre-filled documents",,,,,,,,,
,,Delivery drivers,0,Future phase,,,,,,,,,
,,Cosigned owners,0,Future phase,,,,,,,,,
,,Checkout questions,0,Future phase,,,,,,,,,
,,Integrations,0,Future phase,,,,,,,,,
,,Reporting,0,"Future phase, need some reports.",,,,,,,,,
,,,,,,,,,,,,,
,Damage Check,,,Assuming this is done on a web app. Can consider making an iOS app release for this feature.,,,,,,,,,
,,Check-in and check-out buttons,2,"In booking list, add a feature to add vehicle check-in and check-out photos",,,,10/12/2025,,,,,
,,List of photo thumbnails,8,List of photos thumbnails for viewing,,,,10/12/2025,,,,,
,,Check-in and check-out selection,4,Select between check-in and check-out photos,,,,10/12/2025,,,,,
,,Add photo,4,Take photo with mobile phone,,,,10/12/2025,,,,,
,,Upload photo,8,"Upload the photo to cloud, such as s3, may encode more to reduce photo size",,,,10/12/2025,,,,,
,,Delete photo,2,,,,,10/12/2025,,,,,
,,View photo,4,View full size photo on selecting a thumbnail,,,,10/12/2025,,,,,
,,iOS app,0,Optional,,,,10/12/2025,,,,,
,,Note,,Note for each photo? Log with timestamp?,,,,,,,,,
,,,,,,,,,,,,,
,Maintenance Management,,,,,,,,,,,,
,,Create/edit an event,12,"- Date, duration, vehicle, note, status, type (repair, maintain, etc)
- block dates to make rental unavailable
- Damage maintenance is the same cocept",,,,10/12/2025,,,,,
,,Maintenance list view,10,Past and upcoming events with filter (vehicle) and pagination,,,,10/12/2025,,,,,
,,Maintenance event calendar view,10,Use the same calendar to display maintenance events,,,,,,,,,
,,View a maintenance event,4,,,,,10/12/2025,,,,,
,,DB & model setup,6,,,,,10/12/2025,,,,,
,,Email reminder logic (cron),6,Remind N days before the event,,,,10/12/2025,,,,,
,,,,,,,,,,,,,
,Fleet Admin Support,Intercom integration,2,"- General intercom integration. Assume system admin manages and create the content.
- This is available when a fleet admin signs into the dashboard
- Pass in basic fleet admin information, such as user info, to Intercom
- Not including additional work for passing custom data to intercom
",,,,10/13/2025,,,,,
,,,,,,,,,,,,,
,Calendar Sync,Base Sync Module,10,"- delete the list of blocked dates
- get the list of blocked dates and apply to the vehicle
- download calendar file and parse, assuming this is standardized
- cron service to update periodically, ie, every 10 mins",,,,10/13/2025,,,,,
,,Goboony calendar integration,4,"- from Goboony to the system
- add and update the calendar url",,,,,,,,,
,,,,,,,,,,,,,
,Notification,Bell notification,2,Show unread indicator (dot or count),,"To remove, in Notification development",,10/16/2025,,,,,
,,Notification List API,6,"- API to return the last N notifications
- Support unread count",,,,10/16/2025,,,,,
,,Notification Table & Modal UI,10,"- UI to display dropdown/modal of recent notifications
- Clicking shows full content or opens related page",,,,10/16/2025,,,,,
,,Notification Routing & Links,4,"- Each notification can link to a booking, chat, etc.
- Route to corresponding page when clicked",,,,10/16/2025,,,,,
,,Mark as Read,2,"- API to mark notification as read
- Update unread bubble",,,,10/16/2025,,,,,
,,Unread Bubble Logic,2,- Show unread dot/badge until opened or marked as read,,,,10/16/2025,,,,,
,,,,,,,,,,,,,
,Websocket integration - Live Notification Update,,,,,,,,,,,,
,,WebSocket Setup (Backend),4,"- Setup socket server (e.g., socket.io) and user session handling",,,,10/16/2025,,,,,
,,Redis Pub/Sub Integration,4,- Use Redis for centralized pub/sub between server instances,,,,10/16/2025,,,,,
,,Event Emitters for Notifications,4,"- Emit events for new messages, bookings, cancellations, etc.",,,,10/16/2025,,,,,
,,WebSocket Frontend Listener,3,- Listen to WebSocket on client- Update UI in real-time,,,,10/16/2025,,,,,
,,"Reconnect, Heartbeat, Cleanup",3,"- Handle edge cases, socket cleanup, reconnect logic",,,,10/16/2025,,,,,
,,Store notifications in DB,2,Persist notifications for history / reload,,,,10/16/2025,,,,,
,,Mark as read API,2,API to mark notifications as read,,,,10/16/2025,,,,,
,,WebSocket connection (client),2,Connect to backend WebSocket server,,,,10/16/2025,,,,,
,,WebSocket message handling,2,Push incoming notifications to local state,,,,10/16/2025,,,,,
,,,,,,,,,,,,,
,Digital handover,"-rental agreement (non-digital)
- check id
- search for damage
- video externally and internally
- fleet owner should update everything
- photo for now
- support damange photo update for customers
",,,,"A digital handover should be something like below:
Pick-up: Step-by-Step
Fleet owner starts the process – The fleet owner begins the pick-up process on their phone through the Jolly Campers platform.
Confirm pick-up start – The Traveller will receive a notification or be informed that the pick-up has started.
Complete the form together – All information and photos are entered on the fleet owner’s device. Review details together with the Traveller, including mileage, fuel level, inventory, and any existing damages.
Review & confirm – Once everything is completed, both parties review the form and confirm the pick-up on the fleet owner’s device.
Return: Step-by-Step
Open the booking in your Jolly Campers account.
Tap ‘Finalise Return’ to begin the process.
Follow the guided steps together with the Traveller.
During the return:
Inspect the camper – Carefully check both interior and exterior. Document cleanliness, any new damages, or changes since pick-up — all on the fleet owner’s device.
Review agreements – Verify fuel level, mileage, return time, and any extras agreed upon at pick-up.
Settle any additional costs – Handle refuelling, cleaning, or other costs directly with the Traveller when possible.
Manage the deposit –
If everything is in order → release the deposit.
If there’s an issue → hold the deposit until it’s resolved.
In case of disagreement → add photos and comments directly in the return form before submitting.
Important: Always ensure the Traveller stays until the full return process is completed.
Once submitted, you’ll receive a confirmation email with a link to the completed form. It will also be saved in your booking overview on the Jolly Campers platform for easy reference.",,,,,,,
,,,,,,,,,,,,,
Admin,,,,- Does not support multi languages,,,,,,,,,
,AdminJS integration,AdminJS Integration,12,,Checked,,,8/28/2025,,,,,
,,,,,,,,,,,,,
,User management,,,,,,,,,,,,
,,"User List, Read, Update, Delete",4,"- List all users, assuming email is the UID
- Read, Update, Delete a user. Direct DB mapping, without join.",Checked,,,8/28/2025,,,,,
,,,,,,,,,,,,,
,Fleet Users,,,,,,,,,,,,
,,LCRUD,0,Not needed,Checked,,,8/28/2025,,,,,
,,,,,,,,,,,,,
,Fleet management,,,,,,,,,,,,
,,"List, Read, Update, Delete",4,"- List all fleets
- Read each fleet detail
- Update a fleet (basic info)
- Delete - Set a fleet status to deleted
- Default UI to model association without additional logic",Checked,,,8/25/2025,,,,,
,,Approve Fleet,2,"- Approve - Set a fleet status from pending to active
- Email fleet admin and admin",Checked,,,8/25/2025,,,,,
,,Backend,4,- Build the backend to support fleet in the future,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Campervan feature/amenity management,,,Superuser access only,,,,,,,,,
,,CRUD,16,"List, create, update, delete, group, icon",,,,,,,,,
,,Multiple language support,6,Associate name to a language,,,,,,,,,
,,Tax,0,Associate to tax if needed. not applicable.,,,,,,,,,
,,,,,,,,,,,,,
,Currency,Basic,8,"- Support for Euro (EUR) and British Pound Sterling (GBP)
- Structure built in the database for future multi-currency support
- No UI access or customization in this phase (currencies are fixed)
- Currency setting is shared globally (not per fleet admin)
- Includes handling currency in pricing, calculations, and display logic throughout the application
- Includes logic for formatting, symbol display, and internal value storage
- Payout in fleet default currency
- Does not include setting the default currency on fleet admin settings",checked,,,8/21/2025,,,,,
,,,,,,,,,,,,,
,Vehicle Type,Vehicle Type,2,"- Campervan, Type A, B, C, etc
- Database access only",,,,,,,,,
Total,,,1585,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"Landing page, filter by geo location",,,,,,,,,
,,,,Targeting EU countries,,,,,,,,,
,,,,Fleet with its own set of languages,,,,,,,,,
,,,,Each eu country has its own VAT tax rate,,,,,,,,,
,,,,"Additional charge on retruning vehicle, associate to booking",,,,,,,,,
,,,,Fleet owners mandatory,,,,,,,,,
